matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_time,compression_spmv_loops,tolerance
/home/users/dgal/Data/graphs/tamu/matrices/largebasis/largebasis.mtx,16,440020,440020,5560100,1.000192,31.186178,65.308842,0.000000,0.000000,CSR_CV_STREAM,440020,440020,5560100,22.272330,0.341031,5.43188e-17,4.64445e-16,7.38189e-33,2.46458e-10,1.23229e-10,5.6863e-13,-11.883,1.30932e-12,16384,0,0,0,0,0,0,-inf,0,14.31,0.62,7.9977,23.9977,3.9994,0.0383,108.1476,0
/home/users/dgal/Data/graphs/tamu/matrices/Goodwin_127/Goodwin_127.mtx,16,178437,178437,5778545,1.000205,34.594827,66.810886,0.000000,0.000000,CSR_CV_STREAM,178437,178437,5778545,18.867265,0.282398,4.14355e-17,2.54842e-16,2.92893e-33,0.40266,0.339827,-0.000220945,-3.29361,0.000508616,16384,0,0,0,0,0,0,-inf,0,1.73,1.28,8.0000,16.0000,3.0000,0.0436,131.5150,0
/home/users/dgal/Data/graphs/tamu/matrices/Hamrle3/Hamrle3.mtx,16,1447360,1447360,5514242,1.000688,15.627646,68.626736,0.000000,0.000000,CSR_CV_STREAM,1447360,1447360,5514242,18.196789,0.265156,4.35018e-17,8.88178e-16,8.24419e-33,5.89598,5.53349,1.13859e-15,-14.5814,2.62171e-15,16384,0,0,0,0,0,0,-inf,0,39.05,18.77,8.0000,19.9156,3.4894,0.0303,43.1031,0
/home/users/dgal/Data/graphs/tamu/matrices/boneS01/boneS01.mtx,16,127224,127224,6715152,1.000179,33.354891,77.334141,0.000000,0.000000,CSR_CV_STREAM,127224,127224,6715152,19.514003,0.252334,1.8265e-12,1.27329e-11,7.90158e-24,4.97476e-07,2.48738e-07,9.77617e-10,-8.64762,2.25105e-09,16384,0,0,0,0,0,0,-inf,0,1.00,0.05,8.0000,16.0000,3.0000,0.0431,107.9180,0
/home/users/dgal/Data/graphs/tamu/matrices/sls/sls.mtx,16,1748122,62729,6804304,1.000153,25.280924,84.537640,0.000000,0.000000,CSR_CV_STREAM,1748122,62729,6804304,19.924407,0.235687,1.09157e-16,4.44089e-16,4.84752e-32,3.90767e-15,1.95384e-15,2.72891e-17,-16.2015,6.28837e-17,16384,0,0,0,0,0,0,-inf,0,5.53,0.26,8.0000,15.7130,2.9641,0.0258,48.3027,0
/home/users/dgal/Data/graphs/tamu/matrices/cont1_l/cont1_l.mtx,16,1918399,1921596,7031999,1.000473,14.914855,87.792957,0.000000,0.000000,CSR_CV_STREAM,1918399,1921596,7031999,24.245709,0.276169,1.78416e-17,5.42101e-17,4.78347e-34,1.42266e-12,7.11329e-13,-5.90023e-15,-13.8669,1.35858e-14,16384,0,0,0,0,0,0,-inf,0,21.59,12.99,7.9996,21.3369,3.6671,0.0275,29.4450,0
/home/users/dgal/Data/graphs/tamu/matrices/CO/CO.mtx,16,221119,221119,7666057,1.000016,31.277015,88.574566,0.000000,0.000000,CSR_CV_STREAM,221119,221119,7666057,22.827144,0.257717,1.15441e-14,7.99361e-14,1.5531e-28,4.23394e-10,2.11697e-10,-7.92953e-13,-11.7385,1.82584e-12,16384,0,0,0,0,0,0,-inf,0,1.03,0.61,8.0000,16.0000,3.0000,0.0382,78.4034,0
/home/users/dgal/Data/graphs/tamu/matrices/G3_circuit/G3_circuit.mtx,16,1585478,1585478,7660826,1.000174,16.176845,93.719318,0.000000,0.000000,CSR_CV_STREAM,1585478,1585478,7660826,27.073462,0.288878,1.1201e-13,7.27596e-12,6.68136e-25,1843.64,30.4575,0.503242,0.339645,2.18597,16384,0,0,0,0,0,0,-inf,0,18.24,27.88,7.9984,20.3615,3.5450,0.0402,42.6041,0
/home/users/dgal/Data/graphs/tamu/matrices/degme/degme.mtx,16,185501,659415,8127528,1.000582,18.162576,93.719810,0.000000,0.000000,CSR_CV_STREAM,185501,659415,8127528,29.984757,0.319940,0,0,0,0,0,0,-inf,0,16384,0,0,0,0,0,0,-inf,0,63.66,4.00,7.5900,23.5874,3.8972,0.0554,62.0944,0
/home/users/dgal/Data/graphs/tamu/matrices/atmosmodl/atmosmodl.mtx,16,1489752,1489752,10319760,1.000177,18.304021,123.783237,0.000000,0.000000,CSR_CV_STREAM,1489752,1489752,10319760,39.365559,0.318020,0,0,0,0,0,0,-inf,0,16384,0,0,0,0,0,0,-inf,0,5.10,1.14,7.9981,23.5672,3.9457,0.0411,36.7241,0
/home/users/dgal/Data/graphs/tamu/matrices/SiO2/SiO2.mtx,16,155331,155331,11283503,1.000616,22.350131,129.721989,0.000000,0.000000,CSR_CV_STREAM,155331,155331,11283503,45.146792,0.348027,5.1641e-14,1.2832e-12,3.2209e-27,1.48858e-10,7.44291e-11,4.92137e-13,-11.9457,1.13319e-12,16384,0,0,0,0,0,0,-inf,0,9.25,15.68,7.7909,16.2856,3.0096,0.0875,87.0631,0
/home/users/dgal/Data/graphs/tamu/matrices/tp-6/tp-6.mtx,16,142752,1014301,11537419,1.001395,15.576868,132.579842,0.000000,0.000000,CSR_CV_STREAM,142752,1014301,11537419,40.526187,0.305674,0,0,0,0,0,0,-inf,0,16384,0,0,0,0,0,0,-inf,0,54.23,9.00,6.5919,22.6337,3.6532,0.0867,58.6405,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell3/af_shell3.mtx,16,504855,504855,17588875,1.001084,30.149813,203.214573,0.000000,0.000000,CSR_CV_STREAM,504855,504855,17588875,55.880102,0.274981,8.92066e-11,4.63238e-10,1.23572e-20,1.06953e-09,5.34767e-10,1.68238e-12,-11.4119,3.87383e-12,16384,0,0,0,0,0,0,-inf,0,3.88,5.86,7.9980,15.9940,2.9990,0.1176,101.7224,0
/home/users/dgal/Data/graphs/tamu/matrices/circuit5M_dc/circuit5M_dc.mtx,16,3523317,3523317,19194193,1.000845,9.473930,233.100498,0.000000,0.000000,CSR_CV_STREAM,3523317,3523317,19194193,78.134913,0.335198,4.70217e-17,5.77316e-15,1.02449e-32,1.05969,1.02805,3.0558e-05,-4.15264,7.03649e-05,16384,0,0,0,0,0,0,-inf,0,24.49,5.51,8.0000,24.0000,4.0000,0.1074,26.5186,0
/home/users/dgal/Data/graphs/tamu/matrices/rajat31/rajat31.mtx,16,4690002,4690002,20316253,1.003219,9.801518,250.392006,0.000000,0.000000,CSR_CV_STREAM,4690002,4690002,20316253,83.356922,0.332906,8.52217e-16,1.5838e-15,1.11065e-30,1.68891e-11,8.44457e-12,-7.76162e-15,-13.7478,1.78718e-14,16384,0,0,0,0,0,0,-inf,0,2.00,0.42,7.9986,23.8770,3.9845,0.1026,24.7942,0
/home/users/dgal/Data/graphs/tamu/matrices/CurlCurl_4/CurlCurl_4.mtx,16,2380515,2380515,26515867,1.003263,15.857770,312.530964,0.000000,0.000000,CSR_CV_STREAM,2380515,2380515,26515867,110.426676,0.353330,9.13715e-07,3.05176e-05,3.74615e-12,2.3004e+06,6.48173,-0.252412,-0.355785,0.440773,16384,0,0,0,0,0,0,-inf,0,3.91,2.06,7.9994,23.5613,3.9451,0.1613,48.3116,0
/home/users/dgal/Data/graphs/tamu/matrices/cage14/cage14.mtx,16,1505785,1505785,27130349,1.001336,19.995476,316.226322,0.000000,0.000000,CSR_CV_STREAM,1505785,1505785,27130349,106.825604,0.337814,4.59405e-16,1.66533e-15,2.8656e-31,4.75159e-14,2.37579e-14,-1.80323e-16,-15.3817,4.15195e-16,16384,0,0,0,0,0,0,-inf,0,8.41,0.99,7.9985,23.8013,3.9750,0.1288,47.5284,0
/home/users/dgal/Data/graphs/tamu/matrices/nlpkkt80/nlpkkt80.mtx,16,1062400,1062400,28704672,1.001971,24.179081,332.551640,0.000000,0.000000,CSR_CV_STREAM,1062400,1062400,28704672,109.995326,0.330762,3.43627e-15,1.42109e-14,3.34355e-29,5.49151e-14,2.74576e-14,8.18288e-18,-16.7243,1.88651e-17,16384,0,0,0,0,0,0,-inf,0,2.79,0.17,7.9993,23.9988,3.9998,0.1107,46.7491,0
/home/users/dgal/Data/graphs/tamu/matrices/ss/ss.mtx,16,1652680,1652680,34753577,1.003349,19.674138,404.027603,0.000000,0.000000,CSR_CV_STREAM,1652680,1652680,34753577,149.226919,0.369348,8.41655e-17,1.33227e-15,1.26941e-32,6.53575,6.43556,5.72352e-05,-3.88009,0.000131798,16384,0,0,0,0,0,0,-inf,0,8.41,3.43,7.9982,23.9871,3.9982,0.2341,66.4699,0
/home/users/dgal/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,16,914898,914898,55468422,1.001637,27.135098,638.275776,0.000000,0.000000,CSR_CV_STREAM,914898,914898,55468422,160.659772,0.251709,4.34566e-12,1.43814e-11,3.8297e-23,8.75471e-07,4.37735e-07,3.07772e-09,-8.14955,7.08672e-09,16384,0,0,0,0,0,0,-inf,0,1.39,0.06,8.0000,16.0000,3.0000,0.3266,80.1325,0
